agencyName,continentName,countryName,dateUSGSignature,emergencyTypeName,regionName,totalAmountApproved,year,projectsectors,CIRV - Prev,CIRV - Inc
Food and Agriculture Organization,Africa,Somalia,2017-02-22,Drought,Eastern Africa,4000000,2017,Agriculture,"75,1","0,10"
International Organization for Migration,Africa,Somalia,2017-02-13,Drought,Eastern Africa,400000,2017,Health,"75,1","0,10"
International Organization for Migration,Africa,Somalia,2017-02-13,Drought,Eastern Africa,350000,2017,Shelter and Non-Food Items,"75,1","0,10"
International Organization for Migration,Africa,Somalia,2017-02-13,Drought,Eastern Africa,1150000,2017,Water; Sanitation and Hygiene,"75,1","0,10"
United Nations Population Fund,Africa,Somalia,2017-02-13,Drought,Eastern Africa,195179,2017,Protection,"75,1","0,10"
United Nations Children’s Fund,Africa,Somalia,2017-02-13,Drought,Eastern Africa,599904,2017,Education,"75,1","0,10"
United Nations Children’s Fund,Africa,Somalia,2017-02-15,Drought,Eastern Africa,699999,2017,Health,"75,1","0,10"
United Nations Children’s Fund,Africa,Somalia,2017-02-17,Drought,Eastern Africa,2063461,2017,Water; Sanitation and Hygiene,"75,1","0,10"
United Nations Children’s Fund,Africa,Somalia,2017-02-15,Drought,Eastern Africa,200000,2017,Protection,"75,1","0,10"
World Food Programme,Africa,Somalia,2017-02-10,Drought,Eastern Africa,750000,2017,Common Services,"75,1","0,10"
World Food Programme,Africa,Somalia,2017-02-15,Drought,Eastern Africa,1750000,2017,Nutrition,"75,1","0,10"
World Food Programme,Africa,Somalia,2017-02-15,Drought,Eastern Africa,3500750,2017,Food Assistance,"75,1","0,10"
World Health Organization,Africa,Somalia,2017-02-15,Drought,Eastern Africa,400000,2017,Health,"75,1","0,10"
United Nations Children’s Fund,Africa,Somalia,2017-02-15,Drought,Eastern Africa,1550001,2017,Nutrition,"75,1","0,10"
United Nations High Commissioner for Refugees,Africa,Somalia,2017-02-17,Drought,Eastern Africa,350000,2017,Shelter and Non-Food Items,"75,1","0,10"
