Country,AllocationYear,AllocationSourceName,OrganizationType,ProjectDuration (Months),Budget,Projectsector,Total People,CIRV - Prev,CIVR - Inc
Afghanistan,2017,Reserve,International NGO,2 ,102640.61,"[""Protection""]",140000,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,2125691.55,"[""Education"", ""Emergency Shelter and Non-Food Items"", ""Protection""]",20989,"70,2","-0,06"
Afghanistan,2017,Standard,National NGO,12,463266.3,"[""Health""]",21932,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,13,550889.55,"[""Education""]",4800,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,719215.74,"[""Health"", ""Protection""]",12172,"70,2","-0,06"
Afghanistan,2017,Standard,UN Agency,12,384761.0,"[""Health""]",300000,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,248685.58,"[""Health""]",33935,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,10,1185709.59,"[""Health""]",24010,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,11,477390.63,"[""Education""]",5385,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,10,734470.95,"[""Education"", ""Emergency Shelter and Non-Food Items"", ""Water, Sanitation and Hygiene (WASH)""]",15254,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,284780.39,"[""Emergency Shelter and Non-Food Items""]",11200,"70,2","-0,06"
Afghanistan,2017,Standard,National NGO,6 ,527889.85,"[""Protection""]",252746,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,12,480000.0,"[""Health""]",89761,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,784454.01,"[""Water, Sanitation and Hygiene (WASH)""]",70000,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,420000.01,"[""Camp Coordination""]",10644,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,8 ,501002.6,"[""Food Security"", ""Protection""]",10515,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,7 ,642829.23,"[""Logistics""]",175,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,14,584551.65,"[""Nutrition""]",55888,"70,2","-0,06"
Afghanistan,2017,Standard,National NGO,6 ,269952.11,"[""Water, Sanitation and Hygiene (WASH)""]",27965,"70,2","-0,06"
Afghanistan,2017,Standard,International NGO,6 ,363770.92,"[""Camp Coordination""]",7350,"70,2","-0,06"
Afghanistan,2017,Standard,National NGO,6 ,362926.84,"[""Protection""]",208200,"70,2","-0,06"
