ISO3,Year,Round,avg_tone,crisis_article_volume,neg_event_count,avg_goldstein,cni_normalized
AFG,2012,I,-3.539615712632647,205,7,-6.428571428571429,42.73528844489718
AFG,2013,I,0.10746910263299,4,1,-5.0,25.143811092317087
AFG,2014,I,-5.30361260568793,6,1,-6.5,51.2438131889107
AFG,2021,I,-4.7633105197446515,2107,113,-6.280530973451328,48.63770107749531
AFG,2021,II,-5.354492872806711,1491,92,-6.693478260869565,51.48923086139444
AFG,2022,I,-4.716399194413451,82924,5596,-6.087062187276626,48.41142733862059
AFG,2022,II,-4.767583041518647,77746,5348,-6.227430815258041,48.65830930950325
AFG,2023,I,-4.573370365146431,97817,5360,-5.913936567164179,47.721537045890024
AFG,2023,II,-4.823529638628069,74886,5478,-5.792716319824754,48.92816409650595
AFG,2024,I,-5.000493847613987,41536,4060,-5.919581280788178,49.78173949501675
AFG,2024,II,-4.636297383721769,34822,3439,-5.775079965106135,48.02506144365011
AGO,2013,II,-0.86493679308051,10,2,-7.2,29.83414793898389
AGO,2021,II,-4.12848546486991,13,3,-8.333333333333334,45.575663548525455
AGO,2022,I,-3.257518336793617,1186,182,-5.56978021978022,41.37461002647298
AGO,2022,II,-3.4116833312527177,2826,326,-5.754601226993865,42.118214890619896
AGO,2023,I,-4.479460977270453,1216,203,-5.041379310344827,47.26857119680965
AGO,2023,II,-4.263313034038307,2146,258,-4.920542635658915,46.22599559443828
AGO,2024,I,-3.5667457768580455,1199,183,-5.273770491803279,42.86614855223482
AGO,2024,II,-5.03394474429468,4626,285,-5.272982456140351,49.94308772824643
BDI,2021,II,-4.267157030018214,22,7,-5.285714285714286,46.24453686003783
BDI,2022,I,-5.228467231452398,960,113,-4.942477876106195,50.88135434411435
BDI,2022,II,-4.757926972881509,1175,117,-5.102564102564102,48.61173388794075
BDI,2023,I,-4.749392608766581,1297,138,-5.451449275362319,48.57056893547844
BDI,2023,II,-3.3112533671366746,1946,132,-5.618939393939394,41.63379746444081
BDI,2024,I,-3.71563875722954,781,166,-6.041566265060241,43.58432419794504
BDI,2024,II,-5.369893234593515,597,75,-5.335999999999999,51.563513508855806
BFA,2012,I,-10.968094501998202,65,3,-10.0,78.56607467730558
BFA,2013,I,-3.0890171210597597,174,6,-10.0,40.56185532769078
BFA,2021,I,-5.59124920991932,50,6,-8.366666666666667,52.63120971666076
BFA,2021,II,-8.60377358490566,15,4,-9.25,67.16192589163072
BFA,2022,I,-6.22062323928999,7239,566,-6.703003533568904,55.666954577222725
BFA,2022,II,-5.937411299595317,9809,551,-6.1101633393829395,54.30090013224097
BFA,2023,I,-7.000908130947596,9085,622,-7.747588424437299,59.43060820619801
BFA,2023,II,-4.986206276566442,4359,574,-6.195121951219512,49.71282432160091
BFA,2024,I,-5.294666007307809,4375,461,-6.160737527114967,51.20065985117428
BFA,2024,II,-4.964301492623504,3762,348,-5.669540229885057,49.607168015218235
BGD,2014,II,1.886352779428383,20,3,-7.333333333333333,16.563480911281445
BGD,2021,I,-6.31259617443962,268,33,-6.7272727272727275,56.11058007201868
BGD,2021,II,-4.437002376013539,299,26,-5.730769230769231,47.063774884065054
BGD,2022,I,-3.95450984502948,24075,2495,-5.348176352705411,44.73650341616065
BGD,2022,II,-4.478475033932276,23450,2918,-5.696161754626457,47.2638155629862
BGD,2023,I,-3.9887935855027243,25120,2744,-5.233709912536443,44.90186881747306
BGD,2023,II,-4.360344755711748,34921,3851,-5.3663464035315505,46.69402181832961
BGD,2024,I,-4.025365598318335,36787,3334,-5.375494901019796,45.07827155219729
BGD,2024,II,-4.880668006452716,85374,7107,-5.493147600956804,49.20376731235204
CAF,2021,I,-4.29309628949313,103,8,-7.95,46.36965319780045
CAF,2021,II,-3.18021201413427,8,4,-10.0,41.001727986938036
CAF,2022,I,-5.001187574286427,1896,187,-6.166310160427807,49.78508564068247
CAF,2022,II,-7.326762343708834,1651,194,-5.465979381443299,61.00234489300019
CAF,2023,I,-5.498089837743522,960,135,-5.753333333333334,52.18186151972508
CAF,2023,II,-6.927365855550285,3668,321,-5.850155763239876,59.07588180480096
CAF,2024,I,-6.8753323056075475,1485,135,-6.055555555555555,58.82490134732418
CAF,2024,II,-5.1417533394497195,568,91,-5.7263736263736265,50.4630955032631
CMR,2021,I,-5.75916230366492,10,1,-4.0,53.44112764713046
CMR,2021,II,1.48975791433892,6,1,-4.0,18.476430552092772
CMR,2022,I,-6.892877520603526,5193,352,-6.549715909090909,58.909529555298946
CMR,2022,II,-6.5106765621605875,3246,322,-5.969875776397515,57.066007990776825
CMR,2023,I,-5.222314761321677,4276,403,-7.055583126550869,50.85167830298857
CMR,2023,II,-6.1850559622161585,2671,400,-6.31,55.495398120263374
CMR,2024,I,-4.956400426770907,2378,313,-6.044408945686901,49.56905773589996
CMR,2024,II,-4.5265299599194355,1507,223,-5.57219730941704,47.495605385543826
COD,2021,I,-2.26921253758895,19,5,-6.5,36.607581025293534
COD,2021,II,-3.21543408360129,12,2,-9.5,41.17161935736809
COD,2022,I,-5.55154935852944,2603,374,-6.478609625668449,52.43972005519125
COD,2022,II,-5.657877969226829,3698,430,-5.845581395348837,52.95258922104807
COD,2023,I,-4.5381605995357335,4203,380,-5.762631578947369,47.551705022313925
COD,2023,II,-5.072061061116098,2404,322,-6.03416149068323,50.126939313304476
COD,2024,I,-5.404801364836875,2759,361,-6.744321329639889,51.73189061377714
COD,2024,II,-5.980829857059493,1831,196,-6.407142857142857,54.51032673156646
COL,2014,II,-3.5367675397106,8,2,-5.75,42.72155046730897
COL,2021,I,-6.566318715072068,409,29,-5.086206896551724,57.334394310912295
COL,2021,II,-3.9536275101644587,53,15,-5.7,44.73224753109582
COL,2022,I,-4.115098547253673,8505,906,-5.620529801324503,45.51109261859227
COL,2022,II,-4.124778635411266,10006,1007,-5.844985104270109,45.55778389675574
COL,2023,I,-4.114861898924614,13460,1198,-5.802003338898164,45.50995116070687
COL,2023,II,-4.614033096878076,12373,1342,-5.638822652757079,47.91767109831381
COL,2024,I,-4.937999743097091,11395,1336,-5.416616766467066,49.480303230173895
COL,2024,II,-3.5985475378108265,7120,955,-5.580837696335078,43.01954228610999
DZA,2021,I,-2.7305820173436435,26,6,-4.333333333333333,38.83296682391945
DZA,2021,II,-4.781112912855395,648,13,-3.6923076923076925,48.72356976744694
DZA,2022,I,-4.719532969358928,4239,610,-5.204754098360656,48.42654289906786
DZA,2022,II,-4.462951516037876,2764,425,-5.084235294117647,47.188938880017744
DZA,2023,I,-4.00503751499542,2536,430,-5.467209302325582,44.98022035911849
DZA,2023,II,-4.668489929131873,5868,648,-5.891358024691358,48.180340101040606
DZA,2024,I,-4.612261117792415,4752,542,-5.018819188191881,47.90912407198083
DZA,2024,II,-5.008294109367778,3301,447,-5.238031319910514,49.8193635522944
ERI,2021,I,-6.401582181952014,38,8,-6.375,56.53979831484608
ERI,2021,II,-5.71428571428571,2,1,-10.0,53.224668325312386
ERI,2022,I,-4.6808050900079685,2491,158,-6.191139240506329,48.23974148176486
ERI,2022,II,-5.294299843603759,2504,355,-7.203380281690141,51.198893684267446
ERI,2023,I,-4.043119838644826,1567,195,-5.522564102564103,45.163907980313375
ERI,2023,II,-6.106852750435912,2000,205,-6.88390243902439,55.11818999415319
ERI,2024,I,-4.466660653205285,1244,156,-5.676282051282051,47.20682966287121
ERI,2024,II,-4.504210045315202,1052,109,-5.439449541284404,47.387946723308055
ETH,2021,I,-3.6569045485300427,214,37,-7.6,43.30102354701578
ETH,2021,II,-4.878485711356504,59,10,-7.24,49.19324115332197
ETH,2022,I,-4.884215766942157,13961,1303,-5.9401381427475055,49.22087970525313
ETH,2022,II,-4.794397245520659,13857,1787,-6.454224958030219,48.787645885514436
ETH,2023,I,-4.306749487083479,10846,1312,-5.941539634146341,46.43550851193945
ETH,2023,II,-4.927890872848468,14157,1693,-6.292321323095098,49.43154374937036
ETH,2024,I,-3.746451898209707,8819,1195,-5.612635983263599,43.73294938742392
ETH,2024,II,-4.06435201370005,14032,1140,-5.557280701754386,45.26632000129699
HND,2021,I,-7.553036098435169,182,33,-4.818181818181818,62.09376169117565
HND,2021,II,-3.2258064516129,10,1,-5.0,41.22164980256232
HND,2022,I,-5.483175916959902,18791,854,-4.830913348946137,52.10992518893149
HND,2022,II,-5.13054354199925,2059,236,-5.989406779661017,50.40902577141823
HND,2023,I,-4.966294006614394,7814,499,-5.840080160320641,49.616778777380574
HND,2023,II,-4.740009542976315,3244,268,-5.4399253731343284,48.52531032546303
HND,2024,I,-6.780663061998088,9546,477,-4.851362683438155,58.36827038333592
HND,2024,II,-5.297235906180385,3335,243,-5.311111111111111,51.213055591911136
HTI,2021,I,-7.517930294368989,124,17,-6.470588235294118,61.924431119375036
HTI,2021,II,-5.132321442170814,211,30,-9.3,50.41760135772548
HTI,2022,I,-5.582502937103162,11557,999,-6.004004004004004,52.58902263630527
HTI,2022,II,-5.178763574565552,11163,1077,-6.293871866295264,50.64161197486492
HTI,2023,I,-5.520550802813087,12720,1098,-6.44799635701275,52.29020052974329
HTI,2023,II,-4.86638899083377,18333,1548,-6.45187338501292,49.13489340549186
HTI,2024,I,-4.618855620710157,37449,2390,-6.42092050209205,47.94093222962043
HTI,2024,II,-4.664693324742009,14826,1582,-5.832300884955752,48.162027425705666
KEN,2012,I,3.17460317460317,20,1,-4.0,10.349688581497361
KEN,2013,II,-5.01193317422435,8,3,-2.0,49.83691634589574
KEN,2014,I,0.33557046979866,3,1,-4.0,24.04357892393107
KEN,2014,II,-5.08670520231214,10,1,-4.0,50.19757437973339
KEN,2021,I,-3.7106008877982677,50,11,-7.545454545454546,43.56002436109053
KEN,2021,II,-3.2786590851894513,107,18,-5.7444444444444445,41.47658105688753
KEN,2022,I,-3.1193263118330177,23753,3019,-4.71189135475323,40.70804974599195
KEN,2022,II,-3.151274959145359,29527,3489,-5.041501862997993,40.86215197670733
KEN,2023,I,-3.7986965259758354,31002,3856,-4.973158713692946,43.98494796510847
KEN,2023,II,-4.299495625955157,41206,5173,-5.076899284747729,46.40051998268357
