General Information ;;;I. INFORM Risk;;II. Global Crisis Severity Index;;III. Multi-Indicator Component;;;;;;;;;;;;;;; CIRV ;;
;;;INFORM score;CERF-INFORM GRI score; GSCI ;CERF-INFORM GCSI score; A. IASC Early Warning, Early Action & Readiness Report;;;B. Food Insecurity;;;;;;;;C. Conflict;;;E. CERF- Multi-Indicator Consolidated;;;
Country ;ISO3 Country Code;Country with FTS-tracked HNRP or equivalent plan/appeal ;;;;;IASC Early Warning - Seriousness;IASC Early Warning - Type;IASC Early Warning - Score;FEWSNet Food Assistance Outlook Brief (projected IPC data not available);Global Report on Food Crises 2025 (0-5);Global Report on Food Crises (time period);IPC Classification;FAO Crop Prospects and Food Situation (July 2025);FAO Crop Prospects and Food Situation (July 2025);State of Food Insecurity Report - Prevalence of moderate or severe food insecurity 2025 (0-100);CERF Food Insecurity;CERF Change of Conflict;ACLED Fatalities last year;CERF - Conflict consolidated;; CIRV - CERF Index for Risk and Vulnerability (without Inform Severity) ; CIRV (Incl Inform Severity) ; CIRV (Adjusted) 
TEST;TEST;Yes; 10,0 ; 100 ;5,00; 100 ;;;;5;5;TEST;5;2;TEST;100;100;100,00;100,00;100,00;100 ; 100,00 ; 100,00 ; 100 
Afghanistan;AFG;Yes; 7,8 ; 78 ;4,50; 90 ;High;Drought;67;0;4;0;4;2;Localized;80,8;84;8,33;1,29;4,81;52 ; 65,00 ; 73,33 ; 73 
Albania;ALB;; 2,9 ; 29 ;;;;;;0;0;0;0;0;0;33;7;0,00;0,00;0,00;2 ; 15,60 ; 10,40 ; 16 
Algeria;DZA;; 3,5 ; 35 ;2,50; 50 ;;;;0;0;0;0;0;0;17,6;4;8,33;0,04;4,19;3 ; 18,78 ; 29,19 ; 29 
Angola;AGO;; 5,5 ; 55 ;3,20; 64 ;;;;0;3;0;3;0;0;0;36;0,00;0,22;0,11;12 ; 33,52 ; 43,68 ; 44 
Antigua and Barbuda;ATG;; 2,0 ; 20 ;;;;;;0;0;0;0;0;0;13,5;3;0,00;0,00;0,00;1 ; 10,45 ; 6,97 ; 10 
Argentina;ARG;; 3,0 ; 30 ;;;;;;0;0;0;0;0;0;33,8;7;0,00;0,00;0,00;2 ; 16,13 ; 10,75 ; 16 
Armenia;ARM;; 3,1 ; 31 ;;;;;;0;0;0;0;0;0;7,8;2;0,00;0,00;0,00;1 ; 15,76 ; 10,51 ; 16 
Azerbaijan;AZE;; 4,4 ; 44 ;;;;;;0;0;0;0;0;0;14;3;0,00;0,01;0,01;1 ; 22,47 ; 14,98 ; 22 
Bahamas;BHS;; 2,3 ; 23 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 11,50 ; 7,67 ; 12 
Bahrain;BHR;; 1,8 ; 18 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 9,00 ; 6,00 ; 9 
Bangladesh;BGD;Yes; 6,0 ; 60 ;3,30; 66 ;High;Displacements from conflict in Myanmar;67;0;4;0;4;2;Localized;0;68;8,33;0,46;4,40;46 ; 53,23 ; 57,49 ; 57 
Barbados;BRB;; 2,1 ; 21 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 10,50 ; 7,00 ; 11 
Belarus;BLR;; 2,6 ; 26 ;1,70; 34 ;;;;0;0;0;0;0;0;1,1;0;0,00;0,00;0,00;0 ; 13,04 ; 20,02 ; 20 
Belize;BLZ;; 3,6 ; 36 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,03;0,02;0 ; 18,00 ; 12,00 ; 18 
