relationship,source,target,source_count,target_count,matched_count,unmatched_count,coverage_pct,sample_unmatched,notes
hno_country_to_cod_iso3,HNO Country ISO3,COD ISO3,24,143,20,4,83.3333,MMR | SYR | UKR | YEM,Country-level needs can be checked against COD population availability.
hno_country_to_fts_country_code,HNO Country ISO3,FTS countryCode,24,110,24,0,100.0,,Country-level needs can be compared to appeal funding where codes overlap.
hno_country_to_hrp_locations,HNO Country ISO3,HRP locations,24,126,24,0,100.0,,HNO countries can be linked to HRP plans by ISO3 location lists.
hrp_locations_to_cod_iso3,HRP locations,COD ISO3,126,143,104,22,82.5397,BGR | COG | CZE | EST | GMB | GNB | GRC | HRV | JOR | LBN | LBY | LTU | LVA | MKD | MMR | RUS | SRB | SVN | SYR | TKM | UKR | YEM,HRP plan countries can be checked against COD population availability.
fts_flow_locations_to_hrp_locations,FTS flow locations,HRP locations,180,126,111,69,61.6667,ALB | ARE | ARM | AUS | AUT | AZE | BEL | BIH | BLZ | BRB | BRN | BTN | BWA | CAN | CHE | CHN | COM | CYP | DEU | DNK | DZA | ESP | FIN | FRA | FSM,FTS flow rows may contain multi-country location lists.
hno_admin1_pcode_to_cod_admin1_pcode,HNO Admin 1 PCode,COD ADM1_PCODE,156,1879,52,104,33.3333,AF01 | AF02 | AF03 | AF04 | AF05 | AF06 | AF07 | AF08 | AF09 | AF10 | AF11 | AF12 | AF13 | AF14 | AF15 | AF16 | AF17 | AF18 | AF19 | AF20 | AF21 | AF22 | AF23 | AF24 | AF25,Admin p-code matching is strongest for 2024/2025 HNO because 2026 has no admin fields.
hno_admin2_pcode_to_cod_admin2_pcode,HNO Admin 2 PCode,COD ADM2_PCODE,2886,18957,1738,1148,60.2218,AF0101 | AF0102 | AF0103 | AF0104 | AF0105 | AF0106 | AF0107 | AF0108 | AF0109 | AF0110 | AF0111 | AF0112 | AF0113 | AF0114 | AF0115 | AF0201 | AF0202 | AF0203 | AF0204 | AF0205 | AF0206 | AF0207 | AF0301 | AF0302 | AF0303,Admin p-code matching is strongest for 2024/2025 HNO because 2026 has no admin fields.
hno_admin3_pcode_to_cod_admin3_pcode,HNO Admin 3 PCode,COD ADM3_PCODE,2553,8259,906,1647,35.4877,BF130001 | BF130002 | BF130003 | BF130004 | BF130005 | BF130006 | BF130007 | BF460101 | BF460102 | BF460103 | BF460104 | BF460105 | BF460106 | BF460107 | BF460108 | BF460109 | BF460110 | BF460201 | BF460202 | BF460203 | BF460204 | BF460205 | BF460206 | BF460301 | BF460302,Admin p-code matching is strongest for 2024/2025 HNO because 2026 has no admin fields.
hrp_code_to_fts_plan_code,HRP code,FTS code/destPlanCode,899,888,882,17,98.109,CXGLR06 | CXWAF05 | FDMA17 | O20 | OCOVD20 | OEUR17 | R00 | R01 | R02 | R0203 | R03 | R0304 | R04 | R05 | R0506 | RBFACMRGMBMLIMRTNERNGASENTCD15 | RBFACMRGMBMLIMRTNERNGASENTCD16,Best plan-level join candidate by public plan/appeal code.
hrp_internal_id_to_fts_plan_id,HRP internalId,FTS id/destPlanId,910,889,331,579,36.3736,1 | 10 | 1065 | 1074 | 143 | 147 | 15 | 161 | 1746 | 18 | 180 | 189 | 196 | 1992 | 2 | 20 | 21 | 2146 | 2289 | 2292 | 2294 | 2296 | 2299 | 2316 | 2342,Best plan-level join candidate by internal numeric identifier.
hno_sector_label_to_fts_cluster,HNO sector descriptions,FTS cluster names,182,682,93,89,51.0989,acci n contra minas | anticipatory cccm | anticipatory education | anticipatory food security | anticipatory health | anticipatory nutrition | anticipatory protection overall | anticipatory snfi | anticipatory wash | camp coordination and camp management cccm conflicts | camp coordination and camp management cccm nd | camp coordination and camp management conflict response | camp coordination and camp management natural disaster response | cash a usage multiple | cash usage multiple caseload | child protection natural disaster | coordinaci n y gesti n de campamentos | coordination et organisation de camp | css | education conflict response | education natural disasters response | education natural disater | epah | final hrp caseload | food security and livelihood conflict response,"Uses normalized labels, not authoritative sector IDs."
hno_sector_label_to_cbpf_cluster,HNO sector descriptions,CBPF sector names,182,12,10,172,5.4945,abris | abris ame | abris biens non alimentaires | abris et ame | abris et ana | abris et biens non alimentaires | abris et bna | abris nfi | abrisandnfi | acci n contra minas | agriculture | agua saneamiento e higiene | albergue y art culos no alimentarios | alojamiento de emergencias | alojamiento energ a y enseres | alojamientos temporales cccm | anticipatory action | anticipatory cccm | anticipatory education | anticipatory food security | anticipatory health | anticipatory nutrition | anticipatory protection overall | anticipatory snfi | anticipatory wash,"Uses normalized labels, not authoritative sector IDs."
cbpf_fund_names_need_country_lookup,CBPF fund name columns,country ISO3,51,,,51,,(Closed) Angola | (Closed) Cote d'Ivoire | (Closed) DRC - ERF | (Closed) ERF Afghanistan | (Closed) Indonesia | (Closed) Iraq | (Closed) Kenya | (Closed) Liberia | (Closed) Nepal | (Closed) Regional Syrian Arab Republic | (Closed) Somalia ERF | (Closed) Uganda | (Closed) Zimbabwe | Asia Pacific Regional Envelope (RHPF-AP) | Bangladesh (AP-RHPF) | Burkina Faso (RhPF-WCA) | Chad (RhPF-WCA) | Colombia (RhPF-LAC) | El Salvador (RhPF-LAC) | Fiji (AP-Rhpf) | Guatemala (RhPF-LAC) | Haiti (RhPF-LAC) | Honduras (RhPF-LAC) | Mali (RhPF-WCA) | Mozambique (RhPF),No direct ISO3 key is present in the CBPF exports. 28 fund names look regional or closed and need a fund-country lookup before country joins.
