check_type,scope,item_a,item_b,status,detail
exact_file_hash_duplicate,file,CBPFcontributions__20260418_071813_UTC.csv,ContributionsFlow__20260418_071825_UTC.csv,warning,2 files share sha256 9accdb226637960feb4f02f43750bed84daef5fe3d94bcdd08e042ef8303884b.
exact_row_duplicate,logical rows,AffectedPersons__20260418_072029_UTC.csv,,ok,0 duplicate rows among 16 logical rows.
exact_row_duplicate,logical rows,AllocationFlow__20260418_071755_UTC.csv,,ok,0 duplicate rows among 198 logical rows.
exact_row_duplicate,logical rows,AllocationsByOrgType__20260418_071803_UTC.csv,,ok,0 duplicate rows among 18 logical rows.
exact_row_duplicate,logical rows,AllocationsTimeline__20260418_071808_UTC.csv,,ok,0 duplicate rows among 49 logical rows.
exact_row_duplicate,logical rows,Allocations__20260418_071733_UTC.csv,,ok,0 duplicate rows among 33 logical rows.
exact_row_duplicate,logical rows,CBPFcontributions__20260418_071813_UTC.csv,,ok,0 duplicate rows among 145 logical rows.
exact_row_duplicate,logical rows,ContributionTrends__20260418_071819_UTC.csv,,ok,0 duplicate rows among 381 logical rows.
exact_row_duplicate,logical rows,ContributionsFlow__20260418_071825_UTC.csv,,ok,0 duplicate rows among 145 logical rows.
exact_row_duplicate,logical rows,GenderAgeMarker__20260418_072032_UTC.csv,,ok,0 duplicate rows among 35 logical rows.
exact_row_duplicate,logical rows,SectorsOverview__20260418_071833_UTC.csv,,ok,0 duplicate rows among 97 logical rows.
exact_row_duplicate,logical rows,cod_population_admin0.csv,,ok,0 duplicate rows among 6722 logical rows.
exact_row_duplicate,logical rows,cod_population_admin1.csv,,warning,5 duplicate rows among 91471 logical rows.
exact_row_duplicate,logical rows,cod_population_admin2.csv,,ok,0 duplicate rows among 1001583 logical rows.
exact_row_duplicate,logical rows,cod_population_admin3.csv,,ok,0 duplicate rows among 241962 logical rows.
exact_row_duplicate,logical rows,cod_population_admin4.csv,,ok,0 duplicate rows among 17465 logical rows.
exact_row_duplicate,logical rows,fts_incoming_funding_global.csv,,warning,440 duplicate rows among 7990 logical rows.
exact_row_duplicate,logical rows,fts_internal_funding_global.csv,,ok,0 duplicate rows among 675 logical rows.
exact_row_duplicate,logical rows,fts_outgoing_funding_global.csv,,ok,0 duplicate rows among 3199 logical rows.
exact_row_duplicate,logical rows,fts_requirements_funding_cluster_global.csv,,ok,0 duplicate rows among 8030 logical rows.
exact_row_duplicate,logical rows,fts_requirements_funding_covid_global.csv,,ok,0 duplicate rows among 152 logical rows.
exact_row_duplicate,logical rows,fts_requirements_funding_global.csv,,ok,0 duplicate rows among 3805 logical rows.
exact_row_duplicate,logical rows,fts_requirements_funding_globalcluster_global.csv,,ok,0 duplicate rows among 10630 logical rows.
exact_row_duplicate,logical rows,hpc_hno_2024.csv,,ok,0 duplicate rows among 387819 logical rows.
exact_row_duplicate,logical rows,hpc_hno_2025.csv,,ok,0 duplicate rows among 318259 logical rows.
exact_row_duplicate,logical rows,hpc_hno_2026.csv,,ok,0 duplicate rows among 134 logical rows.
exact_row_duplicate,logical rows,humanitarian-response-plans.csv,,ok,0 duplicate rows among 910 logical rows.
