file,source_family,source_url,size_bytes,size_mb,sha256,logical_rows,columns,hxl_metadata_row,years,country_code_count,country_code_examples,duplicate_logical_rows,column_names,hxl_tags
AffectedPersons__20260418_072029_UTC.csv,CBPF,https://cbpf.data.unocha.org/,1226,0.0012,0d4289e87ff15a846a8858d624459aba0d8e2d5b96fe6e38242d76903dd9afe8,16,12,False,2026,0,,0,Year | CBPF Name | Boys (Reached) | Boys (Targeted) | Girls (Reached) | Girls (Targeted) | Men (Reached) | Men (Targeted) | Women (Reached) | Women (Targeted) | Total (Reached) | Total (Targeted),
AllocationFlow__20260418_071755_UTC.csv,CBPF,https://cbpf.data.unocha.org/,8545,0.0081,8384b451c8e38ccb1fc383fb0b46ddba67ad00538d12857306f8edabb98123b4,198,5,False,2026,0,,0,Year | Fund | Partner type | Direct funding | Net funding,
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,https://cbpf.data.unocha.org/,3113,0.003,96ac28ae5cb5bf0ad384c07ca76f79bec66123dafdc7f208c7dca6b6ddaecbd7,18,22,False,2026,0,,0,Year | CBPF Name | Total Allocation | Allocation (INGO) | Allocation (NNGO) | Allocation (Red Cross) | Allocation (UN) | Reserve Allocation (INGO) | Reserve Allocation (NNGO) | Reserve Allocation (Red Cross) | Reserve Allocation (UN) | Standard Allocation (INGO) | Standard Allocation (NNGO) | Standard Allocation (Red Cross) | Standard Allocation (UN) | Total Reserve Allocation | Total Standard Allocation | Total Under Approval Allocation | Under Approval Allocation (INGO) | Under Approval Allocation (NNGO) | Under Approval Allocation (Red) | Under Approval Allocation (UN),
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,https://cbpf.data.unocha.org/,72189,0.0688,522e168085260be1658e8a1548d24b1981977a8af9c24296cfa409eb05cf25cd,49,15,False,2025 | 2026,0,,0,AllocationSource | AllocationHCLastProjectApprovalDate | TotalProjectsunderApproval | TotalUnderApprovalBudget | TotalProjectsApproved | TotalApprovedBudget | AllocationTypeId | AllocationSourceId | FundTypeId | CBPF | Allocation Title | Allocation Summary | Total | Start Date | End Date,
Allocations__20260418_071733_UTC.csv,CBPF,https://cbpf.data.unocha.org/,1162,0.0011,756b43c8cbfcd46bb061a03ecfac7adcc658c9486e42111d808acba7dc4cb7f5,33,4,False,2026,0,,0,Year | PooledFund | AllocationType | Budget,
CBPFcontributions__20260418_071813_UTC.csv,CBPF,https://cbpf.data.unocha.org/,13625,0.013,9accdb226637960feb4f02f43750bed84daef5fe3d94bcdd08e042ef8303884b,145,12,False,2026,0,,0,IsTransfer | Year | Donor Name | CBPF Name | Paid Amount | Pledged Amount | Total Contributions | Local Curency | Exchange Rate | Paid Amount (Local Currency) | Pledged Amount (Local Currency) | Total Contributions (Local Currency),
ContributionTrends__20260418_071819_UTC.csv,CBPF,https://cbpf.data.unocha.org/,34938,0.0333,762a8ca1d6d9ae956d25c43655b3e7278888db9db3027dbfcb5b6fa1d1004d6c,381,11,False,1999 | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026 | 2027 | 2028,0,,0,Year | Donor Name | CBPF Name | Paid Amount | Pledged Amount | Total Contributions | Paid Amount (Local Currency) | Pledged Amount (Local Currency) | Total Contributions (Local Currency) | Exchange Rate | Local Currency,
ContributionsFlow__20260418_071825_UTC.csv,CBPF,https://cbpf.data.unocha.org/,13625,0.013,9accdb226637960feb4f02f43750bed84daef5fe3d94bcdd08e042ef8303884b,145,12,False,2026,0,,0,IsTransfer | Year | Donor Name | CBPF Name | Paid Amount | Pledged Amount | Total Contributions | Local Curency | Exchange Rate | Paid Amount (Local Currency) | Pledged Amount (Local Currency) | Total Contributions (Local Currency),
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,https://cbpf.data.unocha.org/,1676,0.0016,a1904cca81660d483bfe6ab5d80965a6b47ed971f52a9cd49c98578c9955f313,35,8,False,,0,,0,PooledFundId | PooledFundName | AllocationYear | GenderMarkerGroup | GenderMarkerCode | TotalProjects | TotalBeneficiaries | TotalBudget,
SectorsOverview__20260418_071833_UTC.csv,CBPF,https://cbpf.data.unocha.org/,5786,0.0055,eb03daaa5dbb5d8c108d7c1ba5df8ddbfd5f746a9c468085f2ab3a48ec9fae94,97,6,False,2026,0,,0,Year | CBPF Name | Cluster | Total Allocations | Targeted People | Reached People,
cod_population_admin0.csv,COD-PS,https://data.humdata.org/dataset/cod-ps-global,804934,0.7676,d98da19fbc76dc5dea3c555a04bfcecd0a01eba3b744915d5b7c7ebb24cdc503,6722,19,False,2001 | 2008 | 2009 | 2010 | 2011 | 2012 | 2014 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025,139,ABW | AFG | AGO | AIA | ALB | ARG | ARM | ATG | AZE | BDI | BEN | BFA | BGD | BHS | BLM | BLZ | BMU | BOL | BRA | BRB,0,ISO3 | Country | ADM1_PCODE | ADM1_NAME | ADM2_PCODE | ADM2_NAME | ADM3_PCODE | ADM3_NAME | ADM4_PCODE | ADM4_NAME | Population_group | Gender | Age_range | Age_min | Age_max | Population | Reference_year | Source | Contributor,
cod_population_admin1.csv,COD-PS,https://data.humdata.org/dataset/cod-ps-global,11868586,11.3188,0e8f7b7762b20369609641b3df50a3f984eea08345c4368f9b60f687fd758168,91471,19,False,2001 | 2008 | 2009 | 2010 | 2011 | 2012 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025,123,AGO | ALB | ARG | ARM | AZE | BDI | BEN | BFA | BGD | BLM | BLZ | BOL | BRA | BTN | BWA | CAF | CHL | CIV | CMR | COD,5,ISO3 | Country | ADM1_PCODE | ADM1_NAME | ADM2_PCODE | ADM2_NAME | ADM3_PCODE | ADM3_NAME | ADM4_PCODE | ADM4_NAME | Population_group | Gender | Age_range | Age_min | Age_max | Population | Reference_year | Source | Contributor,
cod_population_admin2.csv,COD-PS,https://data.humdata.org/dataset/cod-ps-global,141896870,135.3234,1dc0f7e46bfbb23f592d945b69b0a65e1525a424db0e80fd0ac116ed68d6c7d3,1001583,19,False,2001 | 2008 | 2010 | 2011 | 2012 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025,77,AGO | AZE | BDI | BEN | BFA | BGD | BLZ | BRA | BWA | CAF | CHL | CIV | CMR | COD | COL | CRI | DOM | ERI | ETH | FJI,0,ISO3 | Country | ADM1_PCODE | ADM1_NAME | ADM2_PCODE | ADM2_NAME | ADM3_PCODE | ADM3_NAME | ADM4_PCODE | ADM4_NAME | Population_group | Gender | Age_range | Age_min | Age_max | Population | Reference_year | Source | Contributor,
cod_population_admin3.csv,COD-PS,https://data.humdata.org/dataset/cod-ps-global,37147862,35.427,53769fef52fafc8401595c300567bbf3709fb951426cbdfc1bfb1f3b7990cd37,241962,19,False,2011 | 2015 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024,19,BGD | BWA | CAF | CHL | CIV | CRI | ETH | FJI | MDG | MLI | NER | PAK | PNG | RWA | SLB | SLE | SLV | SYC | TON,0,ISO3 | Country | ADM1_PCODE | ADM1_NAME | ADM2_PCODE | ADM2_NAME | ADM3_PCODE | ADM3_NAME | ADM4_PCODE | ADM4_NAME | Population_group | Gender | Age_range | Age_min | Age_max | Population | Reference_year | Source | Contributor,
cod_population_admin4.csv,COD-PS,https://data.humdata.org/dataset/cod-ps-global,4786229,4.5645,f7b703724036ccb57d0d609d64dc526b24bdd5ef1f83452ff10c4c011a34498f,17465,19,False,2018,1,MDG,0,ISO3 | Country | ADM1_PCODE | ADM1_NAME | ADM2_PCODE | ADM2_NAME | ADM3_PCODE | ADM3_NAME | ADM4_PCODE | ADM4_NAME | Population_group | Gender | Age_range | Age_min | Age_max | Population | Reference_year | Source | Contributor,
fts_incoming_funding_global.csv,FTS,https://data.humdata.org/dataset/global-requirements-and-funding-data,4097557,3.9077,3a8ac3661492766aa8cb36c0cc7c4236f812e06f6cae02c693d48b57cc2e4b05,7990,37,False,1980 | 1981 | 2006 | 2009 | 2013 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026,179,ABW | AFG | AGO | AIA | ALB | ARE | ARG | ARM | AUS | AUT | AZE | BDI | BEL | BEN | BFA | BGD | BGR | BIH | BLZ | BOL,440,date | budgetYear | description | amountUSD | srcOrganization | srcOrganizationTypes | srcLocations | srcUsageYearStart | srcUsageYearEnd | destPlan | destPlanCode | destPlanId | destOrganization | destOrganizationTypes | destGlobalClusters | destLocations | destProject | destProjectCode | destEmergency | destUsageYearStart | destUsageYearEnd | contributionType | flowType | method | boundary | onBoundary | status | firstReportedDate | decisionDate | keywords | originalAmount | originalCurrency | exchangeRate | id | refCode | createdAt | updatedAt,
fts_internal_funding_global.csv,FTS,https://data.humdata.org/dataset/global-requirements-and-funding-data,468547,0.4468,d267f634fb9c1fc1e5852510cd3aa8b8ea7d678bae122f34f757c39b7f51f3c3,675,37,False,2024 | 2025 | 2026,21,AFG | BFA | BGD | COD | COL | ETH | KEN | LBN | MDA | MMR | MOZ | NGA | NPL | PAK | SDN | SSD | SYR | TCD | UKR | VEN,0,date | budgetYear | description | amountUSD | srcOrganization | srcOrganizationTypes | srcLocations | srcUsageYearStart | srcUsageYearEnd | destPlan | destPlanCode | destPlanId | destOrganization | destOrganizationTypes | destGlobalClusters | destLocations | destProject | destProjectCode | destEmergency | destUsageYearStart | destUsageYearEnd | contributionType | flowType | method | boundary | onBoundary | status | firstReportedDate | decisionDate | keywords | originalAmount | originalCurrency | exchangeRate | id | refCode | createdAt | updatedAt,
fts_outgoing_funding_global.csv,FTS,https://data.humdata.org/dataset/global-requirements-and-funding-data,1365923,1.3026,0a4fc5f2ea3e1acc5a0c9e9ca50ffbd360d792f2b9bff5c618de12660aaff40f,3199,37,False,2006 | 2013 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026,167,AFG | AGO | ALB | ARE | ARG | AUS | AUT | AZE | BDI | BEL | BEN | BFA | BGD | BGR | BIH | BLZ | BOL | BRA | BRB | BRN,0,date | budgetYear | description | amountUSD | srcOrganization | srcOrganizationTypes | srcLocations | srcUsageYearStart | srcUsageYearEnd | destPlan | destPlanCode | destPlanId | destOrganization | destOrganizationTypes | destGlobalClusters | destLocations | destProject | destProjectCode | destEmergency | destUsageYearStart | destUsageYearEnd | contributionType | flowType | method | boundary | onBoundary | status | firstReportedDate | decisionDate | keywords | originalAmount | originalCurrency | exchangeRate | id | refCode | createdAt | updatedAt,
fts_requirements_funding_cluster_global.csv,FTS,https://data.humdata.org/dataset/global-requirements-and-funding-data,1027118,0.9795,f3c9c399669a234b5d0dfa540e76666859e974dbaef437f1e8f7132e7664ba7e,8030,12,False,1999 | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026,84,AFG | AGO | BDI | BEN | BFA | BGD | BOL | CAF | CIV | CMR | COD | COG | COL | CUB | DJI | DOM | ECU | ERI | ETH | FJI,0,countryCode | id | name | code | startDate | endDate | year | clusterCode | cluster | requirements | funding | percentFunded,
fts_requirements_funding_covid_global.csv,FTS,https://data.humdata.org/dataset/global-requirements-and-funding-data,22783,0.0217,eea681b557fe20838449e5862bd84e12d84476984013420a4261855159b2a71d,152,13,False,2019 | 2020 | 2021 | 2022,66,AFG | AGO | ARG | BDI | BEN | BFA | BGD | BOL | BRA | CAF | CHL | CMR | COD | COG | COL | CRI | DJI | DOM | ECU | EGY,0,countryCode | id | name | code | typeId | typeName | startDate | endDate | year | requirements | funding | covidFunding | covidPercentageOfFunding,
fts_requirements_funding_global.csv,FTS,https://data.humdata.org/dataset/global-requirements-and-funding-data,277232,0.2644,1943d8a364fc312c8d72280b08e1ee565ea24132b72518c71b5ea37ac32cae73,3805,12,False,1999 | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026 | 2027 | 2028 | 2029 | 2030 | 2031,110,ABW | AFG | AGO | AIA | ARG | BDI | BEN | BFA | BGD | BGR | BOL | BRA | CAF | CHL | CIV | CMR | COD | COG | COL | CRI,0,countryCode | id | name | code | typeId | typeName | startDate | endDate | year | requirements | funding | percentFunded,
fts_requirements_funding_globalcluster_global.csv,FTS,https://data.humdata.org/dataset/global-requirements-and-funding-data,1312634,1.2518,48b58f1346fffd819bc9c56bec61e647ee59503b9512081b64e3c5decc6fc531,10630,12,False,1999 | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026,84,AFG | AGO | BDI | BEN | BFA | BGD | BOL | CAF | CIV | CMR | COD | COG | COL | CUB | DJI | DOM | ECU | ERI | ETH | FJI,0,countryCode | id | name | code | startDate | endDate | year | clusterCode | cluster | requirements | funding | percentFunded,
hpc_hno_2024.csv,HNO,https://data.humdata.org/dataset/global-hpc-hno,32485531,30.9806,065d9460e4769af61647eb32af33a842ec7bfa75b6513ca79394b27c480c72ea,387819,16,True,2024,24,AFG | BFA | CAF | CMR | COD | COL | ETH | GTM | HND | HTI | MLI | MMR | MOZ | NER | NGA | SDN | SLV | SOM | SSD | SYR,0,Country ISO3 | Admin 1 PCode | Admin 1 Name | Admin 2 PCode | Admin 2 Name | Admin 3 PCode | Admin 3 Name | Description | Cluster | Category | Population | In Need | Targeted | Affected | Reached | Info,Country ISO3=#country+code | Admin 1 PCode=#adm1+code | Admin 1 Name=#adm1+name | Admin 2 PCode=#adm2+code | Admin 2 Name=#adm2+name | Admin 3 PCode=#adm3+code | Admin 3 Name=#adm3+name | Description=#sector+description | Cluster=#sector+cluster+code | Category=#category | Population=#population | In Need=#inneed | Targeted=#targeted | Affected=#affected | Reached=#reached | Info=#meta+info
