file,source_family,column,numeric_count,non_empty_count,numeric_parse_pct,min,p01,p25,p50,p75,p99,max,mean
AffectedPersons__20260418_072029_UTC.csv,CBPF,Year,16,16,100.0,2026,2026,2026,2026,2026,2026,2026,2026
AffectedPersons__20260418_072029_UTC.csv,CBPF,Boys (Reached),16,16,100.0,0,0,0,0,0,12336.05,14513,907.06
AffectedPersons__20260418_072029_UTC.csv,CBPF,Boys (Targeted),16,16,100.0,50,2694.65,100228.25,390206.5,879228.75,2007398.4,2022678,594974.31
AffectedPersons__20260418_072029_UTC.csv,CBPF,Girls (Reached),16,16,100.0,0,0,0,0,0,12815.45,15077,942.31
AffectedPersons__20260418_072029_UTC.csv,CBPF,Girls (Targeted),16,16,100.0,50,4101.35,113157.75,452258,932619.25,2202412.85,2241779,637290.25
AffectedPersons__20260418_072029_UTC.csv,CBPF,Men (Reached),16,16,100.0,0,0,0,0,0,537.2,632,39.5
AffectedPersons__20260418_072029_UTC.csv,CBPF,Men (Targeted),16,16,100.0,1500,3159.6,162618.25,257001.5,643681.75,1640147.5,1751890,439408.94
AffectedPersons__20260418_072029_UTC.csv,CBPF,Women (Reached),16,16,100.0,0,0,0,0,0,1417.8,1668,104.25
AffectedPersons__20260418_072029_UTC.csv,CBPF,Women (Targeted),16,16,100.0,1500,3837.15,225848.5,435592.5,768122.75,2088121.05,2228736,579807.88
AffectedPersons__20260418_072029_UTC.csv,CBPF,Total (Reached),16,16,100.0,0,0,0,0,0,27106.5,31890,1993.12
AffectedPersons__20260418_072029_UTC.csv,CBPF,Total (Targeted),16,16,100.0,3100,13792.75,668146.25,1528429.5,2806297.5,7938079.8,8245083,2251481.38
AllocationFlow__20260418_071755_UTC.csv,CBPF,Year,198,198,100.0,2026,2026,2026,2026,2026,2026,2026,2026
AllocationFlow__20260418_071755_UTC.csv,CBPF,Direct funding,198,198,100.0,0,0,0,0,0,93145000.01,136349919.18,5946580.91
AllocationFlow__20260418_071755_UTC.csv,CBPF,Net funding,198,198,100.0,0,0,0,0,0,91062410.01,122033297.18,5946580.91
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Year,18,18,100.0,2026,2026,2026,2026,2026,2026,2026,2026
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Total Allocation,18,18,100.0,0,0,9792921.78,55390540.27,97149909.86,198141793.06,206500000.03,65412390.06
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Allocation (INGO),18,18,100.0,0,0,4761376.5,14271773.3,26109851.36,84203603.41,90353000.01,20204706.06
