file,column,distribution_type,metric,value,count,pct_non_empty
AffectedPersons__20260418_072029_UTC.csv,Year,top_value,1,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Year,numeric_summary,min,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Year,numeric_summary,p01,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Year,numeric_summary,p25,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Year,numeric_summary,p50,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Year,numeric_summary,p75,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Year,numeric_summary,p99,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Year,numeric_summary,max,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Year,numeric_summary,mean,2026,16,100.0
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,1,Afghanistan,1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,2,Bangladesh (AP-RHPF),1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,3,Chad (RhPF-WCA),1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,4,DRC,1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,5,Ethiopia,1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,6,Fiji (AP-Rhpf),1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,7,Haiti (RhPF-LAC),1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,8,Kenya (ESAHF),1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,9,Lebanon,1,6.25
AffectedPersons__20260418_072029_UTC.csv,CBPF Name,top_value,10,Mozambique (RhPF),1,6.25
AffectedPersons__20260418_072029_UTC.csv,Boys (Reached),top_value,1,0,15,93.75
AffectedPersons__20260418_072029_UTC.csv,Boys (Reached),top_value,2,14513,1,6.25
AffectedPersons__20260418_072029_UTC.csv,Boys (Reached),numeric_summary,min,0,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Boys (Reached),numeric_summary,p01,0,16,100.0
AffectedPersons__20260418_072029_UTC.csv,Boys (Reached),numeric_summary,p25,0,16,100.0
